% MSC Adams results for 4 bars inverse dynamics experiment.
% See README.md
% timestamp       torque            actual angle
   4.7000000e-01  -2.9094050e+01   2.8204100e+01
   4.7500000e-01  -2.8344130e+01   2.8761350e+01
   4.8000000e-01  -2.7603620e+01   2.9322610e+01
   4.8500000e-01  -2.6873400e+01   2.9887800e+01
   4.9000000e-01  -2.6154310e+01   3.0456890e+01
   4.9500000e-01  -2.5447170e+01   3.1029800e+01
   5.0000000e-01  -2.4752750e+01   3.1606490e+01
   5.0500000e-01  -2.4071790e+01   3.2186890e+01
   5.1000000e-01  -2.3404970e+01   3.2770940e+01
   5.1500000e-01  -2.2752930e+01   3.3358600e+01
   5.2000000e-01  -2.2116250e+01   3.3949790e+01
   5.2500000e-01  -2.1495470e+01   3.4544470e+01
   5.3000000e-01  -2.0891060e+01   3.5142570e+01
   5.3500000e-01  -2.0303450e+01   3.5744030e+01
   5.4000000e-01  -1.9732990e+01   3.6348780e+01
   5.4500000e-01  -1.9179970e+01   3.6956780e+01
   5.5000000e-01  -1.8644640e+01   3.7567960e+01
   5.5500000e-01  -1.8127150e+01   3.8182260e+01
   5.6000000e-01  -1.7627620e+01   3.8799620e+01
   5.6500000e-01  -1.7146080e+01   3.9419970e+01
   5.7000000e-01  -1.6682510e+01   4.0043250e+01
   5.7500000e-01  -1.6236830e+01   4.0669410e+01
   5.8000000e-01  -1.5808870e+01   4.1298370e+01
   5.8500000e-01  -1.5398440e+01   4.1930080e+01
   5.9000000e-01  -1.5005260e+01   4.2564470e+01
   5.9500000e-01  -1.4628980e+01   4.3201480e+01
   6.0000000e-01  -1.4269230e+01   4.3841050e+01
   6.0500000e-01  -1.3925550e+01   4.4483110e+01
   6.1000000e-01  -1.3597450e+01   4.5127590e+01
   6.1500000e-01  -1.3284380e+01   4.5774440e+01
   6.2000000e-01  -1.2985730e+01   4.6423590e+01
   6.2500000e-01  -1.2700880e+01   4.7074970e+01
   6.3000000e-01  -1.2429120e+01   4.7728510e+01
   6.3500000e-01  -1.2169750e+01   4.8384160e+01
   6.4000000e-01  -1.1922000e+01   4.9041850e+01
   6.4500000e-01  -1.1685100e+01   4.9701510e+01
   6.5000000e-01  -1.1458210e+01   5.0363070e+01
   6.5500000e-01  -1.1240500e+01   5.1026470e+01
   6.6000000e-01  -1.1031100e+01   5.1691650e+01
   6.6500000e-01  -1.0829150e+01   5.2358530e+01
   6.7000000e-01  -1.0633740e+01   5.3027050e+01
   6.7500000e-01  -1.0443970e+01   5.3697140e+01
   6.8000000e-01  -1.0258930e+01   5.4368740e+01
   6.8500000e-01  -1.0077720e+01   5.5041780e+01
   6.9000000e-01  -9.8994090e+00   5.5716190e+01
   6.9500000e-01  -9.7231010e+00   5.6391910e+01
   7.0000000e-01  -9.5478900e+00   5.7068860e+01
   7.0500000e-01  -9.3728850e+00   5.7746970e+01
   7.1000000e-01  -9.1972070e+00   5.8426190e+01
   7.1500000e-01  -9.0199910e+00   5.9106440e+01
   7.2000000e-01  -8.8403920e+00   5.9787660e+01
   7.2500000e-01  -8.6575870e+00   6.0469780e+01
   7.3000000e-01  -8.4707710e+00   6.1152720e+01
   7.3500000e-01  -8.2791710e+00   6.1836420e+01
   7.4000000e-01  -8.0820350e+00   6.2520810e+01
   7.4500000e-01  -7.8786440e+00   6.3205830e+01
   7.5000000e-01  -7.6683080e+00   6.3891400e+01
   7.5500000e-01  -7.4503700e+00   6.4577460e+01
   7.6000000e-01  -7.2242050e+00   6.5263940e+01
   7.6500000e-01  -6.9892240e+00   6.5950760e+01
   7.7000000e-01  -6.7448730e+00   6.6637870e+01
   7.7500000e-01  -6.4906350e+00   6.7325190e+01
   7.8000000e-01  -6.2260280e+00   6.8012650e+01
   7.8500000e-01  -5.9506090e+00   6.8700180e+01
   7.9000000e-01  -5.6639740e+00   6.9387720e+01
   7.9500000e-01  -5.3657550e+00   7.0075200e+01
   8.0000000e-01  -5.0556230e+00   7.0762550e+01
   8.0500000e-01  -4.7332860e+00   7.1449690e+01
   8.1000000e-01  -4.3984920e+00   7.2136570e+01
   8.1500000e-01  -4.0510250e+00   7.2823100e+01
   8.2000000e-01  -3.6907060e+00   7.3509230e+01
   8.2500000e-01  -3.3173930e+00   7.4194890e+01
   8.3000000e-01  -2.9309810e+00   7.4880000e+01
   8.3500000e-01  -2.5313990e+00   7.5564500e+01
   8.4000000e-01  -2.1186110e+00   7.6248310e+01
   8.4500000e-01  -1.6926140e+00   7.6931380e+01
   8.5000000e-01  -1.2534390e+00   7.7613630e+01
   8.5500000e-01  -8.0114850e-01   7.8294990e+01
   8.6000000e-01  -3.3583500e-01   7.8975400e+01
   8.6500000e-01   1.4237860e-01   7.9654790e+01
   8.7000000e-01   6.3334110e-01   8.0333090e+01
   8.7500000e-01   1.1368740e+00   8.1010230e+01
   8.8000000e-01   1.6527720e+00   8.1686150e+01
   8.8500000e-01   2.1808050e+00   8.2360770e+01
   8.9000000e-01   2.7207190e+00   8.3034030e+01
   8.9500000e-01   3.2722390e+00   8.3705860e+01
   9.0000000e-01   3.8350660e+00   8.4376200e+01
   9.0500000e-01   4.4088830e+00   8.5044980e+01
   9.1000000e-01   4.9933530e+00   8.5712120e+01
   9.1500000e-01   5.5881210e+00   8.6377580e+01
   9.2000000e-01   6.1928180e+00   8.7041260e+01
   9.2500000e-01   6.8070570e+00   8.7703130e+01
   9.3000000e-01   7.4304380e+00   8.8363090e+01
   9.3500000e-01   8.0625500e+00   8.9021100e+01
   9.4000000e-01   8.7029680e+00   8.9677070e+01
   9.4500000e-01   9.3512590e+00   9.0330960e+01
   9.5000000e-01   1.0006980e+01   9.0982690e+01
   9.5500000e-01   1.0669670e+01   9.1632190e+01
   9.6000000e-01   1.1338890e+01   9.2279410e+01
   9.6500000e-01   1.2014160e+01   9.2924280e+01
   9.7000000e-01   1.2695010e+01   9.3566730e+01
   9.7500000e-01   1.3380980e+01   9.4206690e+01
   9.8000000e-01   1.4071580e+01   9.4844120e+01
   9.8500000e-01   1.4766340e+01   9.5478930e+01
   9.9000000e-01   1.5464770e+01   9.6111070e+01
   9.9500000e-01   1.6166410e+01   9.6740480e+01
   1.0000000e+00   1.6870760e+01   9.7367080e+01
   1.0050000e+00   1.7577360e+01   9.7990830e+01
   1.0100000e+00   1.8285730e+01   9.8611650e+01
   1.0150000e+00   1.8995390e+01   9.9229490e+01
   1.0200000e+00   1.9705880e+01   9.9844280e+01
   1.0250000e+00   2.0416740e+01   1.0045600e+02
   1.0300000e+00   2.1127510e+01   1.0106450e+02
   1.0350000e+00   2.1837730e+01   1.0166970e+02
   1.0400000e+00   2.2546960e+01   1.0227170e+02
   1.0450000e+00   2.3254770e+01   1.0287040e+02
   1.0500000e+00   2.3960710e+01   1.0346560e+02
   1.0550000e+00   2.4664380e+01   1.0405740e+02
   1.0600000e+00   2.5365350e+01   1.0464560e+02
   1.0650000e+00   2.6063210e+01   1.0523020e+02
   1.0700000e+00   2.6757580e+01   1.0581120e+02
